USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         1  0.0  0.1   4612  3676 ?        Ss    7月20   0:01 /sbin/init
root         2  0.0  0.0      0     0 ?        S     7月20   0:00 [kthreadd]
root         3  0.0  0.0      0     0 ?        S     7月20   0:04 [ksoftirqd/0]
root         5  0.0  0.0      0     0 ?        S<    7月20   0:00 [kworker/0:0H]
root         7  0.0  0.0      0     0 ?        S     7月20   1:30 [rcu_sched]
root         8  0.0  0.0      0     0 ?        S     7月20   0:00 [rcu_bh]
root         9  0.0  0.0      0     0 ?        S     7月20   0:03 [migration/0]
root        10  0.0  0.0      0     0 ?        S     7月20   0:00 [watchdog/0]
root        11  0.0  0.0      0     0 ?        S     7月20   0:00 [watchdog/1]
root        12  0.0  0.0      0     0 ?        S     7月20   0:03 [migration/1]
root        13  0.0  0.0      0     0 ?        S     7月20   0:01 [ksoftirqd/1]
root        14  0.0  0.0      0     0 ?        S     7月20   0:00 [kworker/1:0]
root        15  0.0  0.0      0     0 ?        S<    7月20   0:00 [kworker/1:0H]
root        16  0.0  0.0      0     0 ?        S     7月20   0:00 [kdevtmpfs]
root        17  0.0  0.0      0     0 ?        S<    7月20   0:00 [netns]
root        18  0.0  0.0      0     0 ?        S<    7月20   0:00 [perf]
root        19  0.0  0.0      0     0 ?        S     7月20   0:00 [khungtaskd]
root        20  0.0  0.0      0     0 ?        S<    7月20   0:00 [writeback]
root        21  0.0  0.0      0     0 ?        SN    7月20   0:00 [ksmd]
root        22  0.0  0.0      0     0 ?        SN    7月20   0:00 [khugepaged]
root        23  0.0  0.0      0     0 ?        S<    7月20   0:00 [crypto]
root        24  0.0  0.0      0     0 ?        S<    7月20   0:00 [kintegrityd]
root        25  0.0  0.0      0     0 ?        S<    7月20   0:00 [bioset]
root        26  0.0  0.0      0     0 ?        S<    7月20   0:00 [kblockd]
root        27  0.0  0.0      0     0 ?        S<    7月20   0:00 [ata_sff]
root        28  0.0  0.0      0     0 ?        S<    7月20   0:00 [md]
root        29  0.0  0.0      0     0 ?        S<    7月20   0:00 [devfreq_wq]
root        34  0.0  0.0      0     0 ?        S     7月20   0:01 [kswapd0]
root        35  0.0  0.0      0     0 ?        S<    7月20   0:00 [vmstat]
root        36  0.0  0.0      0     0 ?        S     7月20   0:00 [fsnotify_mark]
root        37  0.0  0.0      0     0 ?        S     7月20   0:00 [ecryptfs-kthrea]
root        53  0.0  0.0      0     0 ?        S<    7月20   0:00 [kthrotld]
root        54  0.0  0.0      0     0 ?        S<    7月20   0:00 [acpi_thermal_pm]
root        56  0.0  0.0      0     0 ?        S<    7月20   0:00 [bioset]
root        57  0.0  0.0      0     0 ?        S<    7月20   0:00 [bioset]
root        58  0.0  0.0      0     0 ?        S<    7月20   0:00 [bioset]
root        59  0.0  0.0      0     0 ?        S<    7月20   0:00 [bioset]
root        60  0.0  0.0      0     0 ?        S<    7月20   0:00 [bioset]
root        61  0.0  0.0      0     0 ?        S<    7月20   0:00 [bioset]
root        62  0.0  0.0      0     0 ?        S<    7月20   0:00 [bioset]
root        63  0.0  0.0      0     0 ?        S<    7月20   0:00 [bioset]
root        64  0.0  0.0      0     0 ?        S     7月20   0:00 [scsi_eh_0]
root        65  0.0  0.0      0     0 ?        S<    7月20   0:00 [scsi_tmf_0]
root        66  0.0  0.0      0     0 ?        S     7月20   0:00 [scsi_eh_1]
root        67  0.0  0.0      0     0 ?        S<    7月20   0:00 [scsi_tmf_1]
root        69  0.0  0.0      0     0 ?        S<    7月20   0:00 [ipv6_addrconf]
root        71  0.0  0.0      0     0 ?        S     7月20   0:07 [kworker/1:2]
root        84  0.0  0.0      0     0 ?        S<    7月20   0:00 [deferwq]
root        85  0.0  0.0      0     0 ?        S<    7月20   0:00 [charger_manager]
root       148  0.0  0.0      0     0 ?        S<    7月20   0:00 [mpt_poll_0]
root       149  0.0  0.0      0     0 ?        S<    7月20   0:00 [kpsmoused]
root       150  0.0  0.0      0     0 ?        S<    7月20   0:00 [mpt/0]
root       151  0.0  0.0      0     0 ?        S     7月20   0:00 [scsi_eh_2]
root       152  0.0  0.0      0     0 ?        S<    7月20   0:00 [scsi_tmf_2]
root       153  0.0  0.0      0     0 ?        S     7月20   0:00 [scsi_eh_3]
root       154  0.0  0.0      0     0 ?        S<    7月20   0:00 [scsi_tmf_3]
root       155  0.0  0.0      0     0 ?        S     7月20   0:00 [scsi_eh_4]
root       156  0.0  0.0      0     0 ?        S<    7月20   0:00 [scsi_tmf_4]
root       157  0.0  0.0      0     0 ?        S     7月20   0:00 [scsi_eh_5]
root       158  0.0  0.0      0     0 ?        S<    7月20   0:00 [scsi_tmf_5]
root       159  0.0  0.0      0     0 ?        S     7月20   0:00 [scsi_eh_6]
root       160  0.0  0.0      0     0 ?        S<    7月20   0:00 [scsi_tmf_6]
root       161  0.0  0.0      0     0 ?        S     7月20   0:00 [scsi_eh_7]
root       162  0.0  0.0      0     0 ?        S<    7月20   0:00 [scsi_tmf_7]
root       163  0.0  0.0      0     0 ?        S     7月20   0:00 [scsi_eh_8]
root       164  0.0  0.0      0     0 ?        S<    7月20   0:00 [scsi_tmf_8]
root       165  0.0  0.0      0     0 ?        S     7月20   0:00 [scsi_eh_9]
root       166  0.0  0.0      0     0 ?        S<    7月20   0:00 [scsi_tmf_9]
root       167  0.0  0.0      0     0 ?        S     7月20   0:00 [scsi_eh_10]
root       168  0.0  0.0      0     0 ?        S<    7月20   0:00 [scsi_tmf_10]
root       169  0.0  0.0      0     0 ?        S     7月20   0:00 [scsi_eh_11]
root       170  0.0  0.0      0     0 ?        S<    7月20   0:00 [scsi_tmf_11]
root       171  0.0  0.0      0     0 ?        S     7月20   0:00 [scsi_eh_12]
root       172  0.0  0.0      0     0 ?        S<    7月20   0:00 [scsi_tmf_12]
root       173  0.0  0.0      0     0 ?        S     7月20   0:00 [scsi_eh_13]
root       174  0.0  0.0      0     0 ?        S<    7月20   0:00 [scsi_tmf_13]
root       175  0.0  0.0      0     0 ?        S     7月20   0:00 [scsi_eh_14]
root       176  0.0  0.0      0     0 ?        S<    7月20   0:00 [scsi_tmf_14]
root       177  0.0  0.0      0     0 ?        S     7月20   0:00 [scsi_eh_15]
root       178  0.0  0.0      0     0 ?        S<    7月20   0:00 [scsi_tmf_15]
root       179  0.0  0.0      0     0 ?        S     7月20   0:00 [scsi_eh_16]
root       180  0.0  0.0      0     0 ?        S<    7月20   0:00 [scsi_tmf_16]
root       181  0.0  0.0      0     0 ?        S     7月20   0:00 [scsi_eh_17]
root       182  0.0  0.0      0     0 ?        S<    7月20   0:00 [scsi_tmf_17]
root       183  0.0  0.0      0     0 ?        S     7月20   0:00 [scsi_eh_18]
root       184  0.0  0.0      0     0 ?        S<    7月20   0:00 [scsi_tmf_18]
root       185  0.0  0.0      0     0 ?        S     7月20   0:00 [scsi_eh_19]
root       186  0.0  0.0      0     0 ?        S<    7月20   0:00 [scsi_tmf_19]
root       187  0.0  0.0      0     0 ?        S     7月20   0:00 [scsi_eh_20]
root       188  0.0  0.0      0     0 ?        S<    7月20   0:00 [scsi_tmf_20]
root       189  0.0  0.0      0     0 ?        S     7月20   0:00 [scsi_eh_21]
root       190  0.0  0.0      0     0 ?        S<    7月20   0:00 [scsi_tmf_21]
root       191  0.0  0.0      0     0 ?        S     7月20   0:00 [scsi_eh_22]
root       192  0.0  0.0      0     0 ?        S<    7月20   0:00 [scsi_tmf_22]
root       193  0.0  0.0      0     0 ?        S     7月20   0:00 [scsi_eh_23]
root       194  0.0  0.0      0     0 ?        S<    7月20   0:00 [scsi_tmf_23]
root       195  0.0  0.0      0     0 ?        S     7月20   0:00 [scsi_eh_24]
root       196  0.0  0.0      0     0 ?        S<    7月20   0:00 [scsi_tmf_24]
root       197  0.0  0.0      0     0 ?        S     7月20   0:00 [scsi_eh_25]
root       198  0.0  0.0      0     0 ?        S<    7月20   0:00 [scsi_tmf_25]
root       199  0.0  0.0      0     0 ?        S     7月20   0:00 [scsi_eh_26]
root       200  0.0  0.0      0     0 ?        S<    7月20   0:00 [scsi_tmf_26]
root       201  0.0  0.0      0     0 ?        S     7月20   0:00 [scsi_eh_27]
root       202  0.0  0.0      0     0 ?        S<    7月20   0:00 [scsi_tmf_27]
root       203  0.0  0.0      0     0 ?        S     7月20   0:00 [scsi_eh_28]
root       204  0.0  0.0      0     0 ?        S<    7月20   0:00 [scsi_tmf_28]
root       205  0.0  0.0      0     0 ?        S     7月20   0:00 [scsi_eh_29]
root       206  0.0  0.0      0     0 ?        S<    7月20   0:00 [scsi_tmf_29]
root       207  0.0  0.0      0     0 ?        S     7月20   0:00 [scsi_eh_30]
root       208  0.0  0.0      0     0 ?        S<    7月20   0:00 [scsi_tmf_30]
root       209  0.0  0.0      0     0 ?        S     7月20   0:00 [scsi_eh_31]
root       210  0.0  0.0      0     0 ?        S<    7月20   0:00 [scsi_tmf_31]
root       237  0.0  0.0      0     0 ?        S     7月20   0:00 [scsi_eh_32]
root       238  0.0  0.0      0     0 ?        S<    7月20   0:00 [scsi_tmf_32]
root       239  0.0  0.0      0     0 ?        S<    7月20   0:00 [bioset]
root       241  0.0  0.0      0     0 ?        S<    7月20   0:00 [bioset]
root       268  0.0  0.0      0     0 ?        S     7月20   0:03 [jbd2/sda1-8]
root       269  0.0  0.0      0     0 ?        S<    7月20   0:00 [ext4-rsv-conver]
root       310  0.0  0.0      0     0 ?        S<    7月20   0:00 [kworker/0:1H]
root       435  0.0  0.0   3556  2568 ?        S     7月20   0:00 upstart-udev-bridge --daemon
root       439  0.0  0.0  13000  3492 ?        Ss    7月20   0:00 /lib/systemd/systemd-udevd --daemon
message+   511  0.0  0.0   4896  3136 ?        Ss    7月20   0:01 dbus-daemon --system --fork
root       533  0.0  0.0      0     0 ?        S<    7月20   0:00 [rpciod]
root       551  0.0  0.0      0     0 ?        S<    7月20   0:00 [nfsiod]
root       584  0.0  0.0   4304  3152 ?        Ss    7月20   0:00 /lib/systemd/systemd-logind
root       585  0.0  0.0   4896  1400 ?        Ss    7月20   0:00 /usr/sbin/bluetoothd
root       601  0.0  0.0   2900    24 ?        Ss    7月20   0:00 rpc.idmapd
root       613  0.0  0.0      0     0 ?        S<    7月20   0:00 [krfcommd]
syslog     626  0.0  0.0  31388  2948 ?        Ssl   7月20   0:00 rsyslogd
avahi      639  0.0  0.0   3580  2776 ?        S     7月20   0:11 avahi-daemon: running [laptop.local]
avahi      640  0.0  0.0   3484   208 ?        S     7月20   0:00 avahi-daemon: chroot helper
root       657  0.0  0.0      0     0 ?        S<    7月20   0:00 [ttm_swap]
root       692  0.0  0.0   3448  2180 ?        S     7月20   0:00 upstart-file-bridge --daemon
root       710  0.0  0.0      0     0 ?        S<    7月20   0:00 [kworker/1:1H]
root       768  0.0  0.3  33296 12940 ?        Ss    7月20   0:00 smbd -F
root       791  0.0  0.0   2812  2292 ?        Ss    7月20   0:00 rpcbind
root       798  0.0  0.1  31492  4328 ?        S     7月20   0:00 smbd -F
root       816  0.0  0.0      0     0 ?        S<    7月20   0:00 [kvm-irqfd-clean]
root       818  0.0  0.1  33296  5312 ?        S     7月20   0:00 smbd -F
root       845  0.0  0.1  38524  6320 ?        Ssl   7月20   0:00 /usr/sbin/ModemManager
statd      872  0.0  0.0   2992  2428 ?        Ss    7月20   0:00 rpc.statd -L
root       873  0.0  0.2  56208 10676 ?        Ssl   7月20   0:29 NetworkManager
root       879  0.0  0.1  37608  7184 ?        Sl    7月20   0:00 /usr/lib/policykit-1/polkitd --no-debug
root       954  0.0  0.0   3148  1820 ?        S     7月20   0:00 upstart-socket-bridge --daemon
root      1017  0.0  0.0   4660  1856 tty4     Ss+   7月20   0:00 /sbin/getty -8 38400 tty4
root      1022  0.0  0.0   4660  1976 tty5     Ss+   7月20   0:00 /sbin/getty -8 38400 tty5
root      1030  0.0  0.0   4660  1904 tty2     Ss+   7月20   0:00 /sbin/getty -8 38400 tty2
root      1031  0.0  0.0   4660  1824 tty3     Ss+   7月20   0:00 /sbin/getty -8 38400 tty3
root      1034  0.0  0.0   4660  1952 tty6     Ss+   7月20   0:00 /sbin/getty -8 38400 tty6
root      1132  0.0  0.1   7824  4708 ?        Ss    7月20   0:00 /usr/sbin/sshd -D
root      1155  0.0  0.0   3064  2184 ?        Ss    7月20   0:00 cron
root      1174  0.0  0.1  45036  6280 ?        SLsl  7月20   0:00 lightdm
whoopsie  1207  0.0  0.2  62268  8808 ?        Ssl   7月20   0:00 whoopsie
root      1238  1.2  3.3 381212 120256 tty7    Ss+   7月20  23:03 /usr/lib/xorg/Xorg -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
root      1241  0.0  0.1  38116  6924 ?        Sl    7月20   0:00 /usr/lib/accountsservice/accounts-daemon
root      1281  0.0  0.1   8748  4812 ?        Ss    7月20   0:27 /usr/sbin/cups-browsed
kernoops  1283  0.0  0.0   6404   224 ?        Ss    7月20   0:02 /usr/sbin/kerneloops
root      1327  0.0  0.0      0     0 ?        S<    7月20   0:00 [nfsd4_callbacks]
root      1328  0.0  0.0      0     0 ?        S     7月20   0:00 [lockd]
root      1330  0.0  0.0      0     0 ?        S     7月20   0:00 [nfsd]
root      1331  0.0  0.0      0     0 ?        S     7月20   0:00 [nfsd]
root      1334  0.0  0.0      0     0 ?        S     7月20   0:00 [nfsd]
root      1335  0.0  0.0      0     0 ?        S     7月20   0:00 [nfsd]
root      1336  0.0  0.0      0     0 ?        S     7月20   0:00 [nfsd]
root      1337  0.0  0.0      0     0 ?        S     7月20   0:00 [nfsd]
root      1338  0.0  0.0      0     0 ?        S     7月20   0:00 [nfsd]
root      1339  0.0  0.0      0     0 ?        S     7月20   0:00 [nfsd]
root      1342  0.0  0.0   3404  1796 ?        Ss    7月20   0:00 /usr/sbin/rpc.mountd --manage-gids
root      1363  0.0  0.0  14936  2564 ?        Ss    7月20   0:00 nginx: master process /usr/sbin/nginx
www-data  1364  0.0  0.0  15068  2780 ?        S     7月20   0:13 nginx: worker process
www-data  1365  0.0  0.0  15068  2792 ?        S     7月20   0:12 nginx: worker process
www-data  1366  0.0  0.0  15068  2792 ?        S     7月20   0:12 nginx: worker process
www-data  1367  0.0  0.0  15068  2764 ?        S     7月20   0:00 nginx: worker process
root      1418  0.0  0.0   4660  1972 tty1     Ss+   7月20   0:00 /sbin/getty -8 38400 tty1
root      1422  0.0  0.0   2212  1612 ?        Ss    7月20   0:15 acpid -c /etc/acpi/events -s /var/run/acpid.socket
root      1430  0.0  0.0      0     0 ?        S     7月20   0:00 [kauditd]
root      1527  0.0  0.1  18108  5712 ?        Sl    7月20   0:00 lightdm --session-child 12 19
